,COUNTRY,Country,Gender,Field,International mobility,Education level,Year,Value
103,AUS,Australia,Male,"Agriculture, forestry, fisheries and veterinary",Mobile including homecoming nationals,Master’s or equivalent level,2019,425.522
106,AUS,Australia,Female,"Agriculture, forestry, fisheries and veterinary",Mobile including homecoming nationals,Doctoral or equivalent level,2019,454.0
107,AUS,Australia,Male,"Agriculture, forestry, fisheries and veterinary",Mobile including homecoming nationals,Doctoral or equivalent level,2019,403.0
110,AUS,Australia,Male,Health and welfare,Mobile including homecoming nationals,Short-cycle tertiary education,2019,2067.0
112,AUS,Australia,Female,Health and welfare,Total,Bachelor’s or equivalent level,2019,167654.717
113,AUS,Australia,Male,Health and welfare,Total,Bachelor’s or equivalent level,2019,54402.679
114,AUS,Australia,Female,Health and welfare,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,18046.651
115,AUS,Australia,Male,Health and welfare,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,6991.374
117,AUS,Australia,Female,Health and welfare,Total,Master’s or equivalent level,2019,38309.292
118,AUS,Australia,Male,Health and welfare,Total,Master’s or equivalent level,2019,16193.984
119,AUS,Australia,Female,Health and welfare,Mobile including homecoming nationals,Master’s or equivalent level,2019,9251.239
120,AUS,Australia,Male,Health and welfare,Mobile including homecoming nationals,Master’s or equivalent level,2019,3709.679
123,AUS,Australia,Female,Health and welfare,Mobile including homecoming nationals,Doctoral or equivalent level,2019,1293.0
126,AUS,Australia,Female,Services,Total,Short-cycle tertiary education,2019,7651.0
127,AUS,Australia,Female,Services,Mobile including homecoming nationals,Short-cycle tertiary education,2019,483.0
128,AUS,Australia,Male,Services,Mobile including homecoming nationals,Short-cycle tertiary education,2019,419.0
131,AUS,Australia,Female,Services,Total,Bachelor’s or equivalent level,2019,5531.849
132,AUS,Australia,Male,Services,Total,Bachelor’s or equivalent level,2019,5833.028
133,AUS,Australia,Female,Services,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,334.302
134,AUS,Australia,Male,Services,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,640.602
137,AUS,Australia,Female,Services,Total,Master’s or equivalent level,2019,1101.059
138,AUS,Australia,Male,Services,Total,Master’s or equivalent level,2019,1074.435
140,AUS,Australia,Female,Services,Total,Doctoral or equivalent level,2019,51.0
141,AUS,Australia,Female,Services,Mobile including homecoming nationals,Doctoral or equivalent level,2019,21.0
142,AUT,Austria,Female,Education,Total,Short-cycle tertiary education,2019,7487.033
143,AUT,Austria,Female,Education,Mobile including homecoming nationals,Short-cycle tertiary education,2019,92.167
144,AUT,Austria,Female,Education,Homecoming nationals,Short-cycle tertiary education,2019,17.0
145,AUT,Austria,Male,Education,Homecoming nationals,Short-cycle tertiary education,2019,3.5
146,AUT,Austria,Female,Education,Homecoming nationals,Bachelor’s or equivalent level,2019,131.622
147,AUT,Austria,Male,Education,Total,Master’s or equivalent level,2019,3750.225
148,AUT,Austria,Female,Education,Mobile including homecoming nationals,Master’s or equivalent level,2019,896.306
149,AUT,Austria,Female,Education,Homecoming nationals,Master’s or equivalent level,2019,89.235
150,AUT,Austria,Male,Education,Homecoming nationals,Master’s or equivalent level,2019,43.151
151,AUT,Austria,Female,Education,Total,Doctoral or equivalent level,2019,340.608
152,AUT,Austria,Female,Education,Mobile including homecoming nationals,Doctoral or equivalent level,2019,81.583
153,AUT,Austria,Female,Arts and humanities,Total,Short-cycle tertiary education,2019,2009.45
154,AUT,Austria,Male,Arts and humanities,Total,Short-cycle tertiary education,2019,770.483
155,AUT,Austria,Female,Arts and humanities,Mobile including homecoming nationals,Short-cycle tertiary education,2019,106.333
156,AUT,Austria,Male,Arts and humanities,Mobile including homecoming nationals,Short-cycle tertiary education,2019,70.0
157,AUT,Austria,Female,Arts and humanities,Total,Bachelor’s or equivalent level,2019,16559.857
158,AUT,Austria,Female,Arts and humanities,Total,Master’s or equivalent level,2019,7984.504
159,AUT,Austria,Male,Arts and humanities,Total,Master’s or equivalent level,2019,4771.352
160,AUT,Austria,Female,Arts and humanities,Mobile including homecoming nationals,Master’s or equivalent level,2019,2345.994
161,AUT,Austria,Female,Arts and humanities,Homecoming nationals,Master’s or equivalent level,2019,164.333
162,AUT,Austria,Female,Arts and humanities,Total,Doctoral or equivalent level,2019,1727.758
163,AUT,Austria,Female,Arts and humanities,Mobile including homecoming nationals,Doctoral or equivalent level,2019,726.117
164,AUT,Austria,Male,Arts and humanities,Mobile including homecoming nationals,Doctoral or equivalent level,2019,543.744
165,AUT,Austria,Female,"Social sciences, journalism and information",Total,Short-cycle tertiary education,2019,825.602
166,AUT,Austria,Female,"Social sciences, journalism and information",Mobile including homecoming nationals,Short-cycle tertiary education,2019,79.893
167,AUT,Austria,Male,"Social sciences, journalism and information",Mobile including homecoming nationals,Short-cycle tertiary education,2019,26.917
168,AUT,Austria,Female,"Social sciences, journalism and information",Homecoming nationals,Short-cycle tertiary education,2019,10.833
169,AUT,Austria,Female,"Social sciences, journalism and information",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,3860.001
170,AUT,Austria,Female,"Social sciences, journalism and information",Homecoming nationals,Bachelor’s or equivalent level,2019,156.2
171,AUT,Austria,Female,"Social sciences, journalism and information",Total,Master’s or equivalent level,2019,9034.859
172,AUT,Austria,Male,"Social sciences, journalism and information",Total,Master’s or equivalent level,2019,4225.169
173,AUT,Austria,Female,"Social sciences, journalism and information",Homecoming nationals,Master’s or equivalent level,2019,209.367
174,AUT,Austria,Male,"Social sciences, journalism and information",Homecoming nationals,Master’s or equivalent level,2019,105.478
175,AUT,Austria,Female,"Social sciences, journalism and information",Total,Doctoral or equivalent level,2019,889.533
176,AUT,Austria,Male,"Social sciences, journalism and information",Total,Doctoral or equivalent level,2019,653.738
177,AUT,Austria,Female,"Social sciences, journalism and information",Mobile including homecoming nationals,Doctoral or equivalent level,2019,338.85
178,AUT,Austria,Female,"Social sciences, journalism and information",Homecoming nationals,Doctoral or equivalent level,2019,41.0
179,AUT,Austria,Female,"Business, administration and law",Total,Short-cycle tertiary education,2019,10311.643
180,AUT,Austria,Male,"Business, administration and law",Total,Short-cycle tertiary education,2019,7190.667
181,AUT,Austria,Male,"Business, administration and law",Homecoming nationals,Short-cycle tertiary education,2019,37.5
182,AUT,Austria,Female,"Business, administration and law",Total,Bachelor’s or equivalent level,2019,19164.517
183,AUT,Austria,Female,"Business, administration and law",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,3220.603
184,AUT,Austria,Male,"Business, administration and law",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,3027.255
185,AUT,Austria,Female,"Business, administration and law",Homecoming nationals,Bachelor’s or equivalent level,2019,209.917
186,AUT,Austria,Male,"Business, administration and law",Homecoming nationals,Bachelor’s or equivalent level,2019,189.415
187,AUT,Austria,Female,"Business, administration and law",Total,Master’s or equivalent level,2019,23615.237
188,AUT,Austria,Female,"Business, administration and law",Mobile including homecoming nationals,Master’s or equivalent level,2019,4192.289
189,AUT,Austria,Female,"Business, administration and law",Homecoming nationals,Master’s or equivalent level,2019,388.083
190,AUT,Austria,Male,"Business, administration and law",Homecoming nationals,Master’s or equivalent level,2019,269.257
191,AUT,Austria,Female,"Business, administration and law",Total,Doctoral or equivalent level,2019,1594.333
192,AUT,Austria,Female,"Business, administration and law",Mobile including homecoming nationals,Doctoral or equivalent level,2019,365.833
193,AUT,Austria,Female,"Natural sciences, mathematics and statistics",Mobile including homecoming nationals,Short-cycle tertiary education,2019,18.5
194,AUT,Austria,Female,"Natural sciences, mathematics and statistics",Homecoming nationals,Short-cycle tertiary education,2019,2.0
195,AUT,Austria,Male,"Natural sciences, mathematics and statistics",Homecoming nationals,Short-cycle tertiary education,2019,1.0
196,AUT,Austria,Male,"Natural sciences, mathematics and statistics",Total,Bachelor’s or equivalent level,2019,11704.858
197,AUT,Austria,Female,"Natural sciences, mathematics and statistics",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,2223.597
198,AUT,Austria,Male,"Natural sciences, mathematics and statistics",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,1980.691
199,AUT,Austria,Female,"Natural sciences, mathematics and statistics",Homecoming nationals,Bachelor’s or equivalent level,2019,146.867
200,AUT,Austria,Male,"Natural sciences, mathematics and statistics",Homecoming nationals,Bachelor’s or equivalent level,2019,123.926
201,AUT,Austria,Male,"Natural sciences, mathematics and statistics",Total,Master’s or equivalent level,2019,4510.179
202,AUT,Austria,Female,"Natural sciences, mathematics and statistics",Mobile including homecoming nationals,Master’s or equivalent level,2019,1344.819
203,AUT,Austria,Male,"Natural sciences, mathematics and statistics",Mobile including homecoming nationals,Master’s or equivalent level,2019,1222.386
204,AUT,Austria,Female,"Natural sciences, mathematics and statistics",Homecoming nationals,Master’s or equivalent level,2019,79.45
205,AUT,Austria,Male,"Natural sciences, mathematics and statistics",Homecoming nationals,Master’s or equivalent level,2019,46.636
206,AUT,Austria,Female,"Natural sciences, mathematics and statistics",Total,Doctoral or equivalent level,2019,1053.783
207,AUT,Austria,Male,"Natural sciences, mathematics and statistics",Total,Doctoral or equivalent level,2019,1634.118
208,AUT,Austria,Female,"Natural sciences, mathematics and statistics",Mobile including homecoming nationals,Doctoral or equivalent level,2019,531.7
209,AUT,Austria,Male,Information and Communication Technologies (ICTs),Mobile including homecoming nationals,Short-cycle tertiary education,2019,18.0
210,AUT,Austria,Male,Information and Communication Technologies (ICTs),Homecoming nationals,Short-cycle tertiary education,2019,2.0
211,AUT,Austria,Female,Information and Communication Technologies (ICTs),Total,Bachelor’s or equivalent level,2019,2311.93
212,AUT,Austria,Male,Information and Communication Technologies (ICTs),Total,Bachelor’s or equivalent level,2019,9824.739
213,AUT,Austria,Male,Information and Communication Technologies (ICTs),Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,1517.187
214,AUT,Austria,Female,Information and Communication Technologies (ICTs),Homecoming nationals,Bachelor’s or equivalent level,2019,30.45
215,AUT,Austria,Female,Information and Communication Technologies (ICTs),Total,Master’s or equivalent level,2019,957.369
216,AUT,Austria,Male,Information and Communication Technologies (ICTs),Mobile including homecoming nationals,Master’s or equivalent level,2019,891.765
217,AUT,Austria,Male,Information and Communication Technologies (ICTs),Homecoming nationals,Master’s or equivalent level,2019,69.917
218,AUT,Austria,Male,Information and Communication Technologies (ICTs),Mobile including homecoming nationals,Doctoral or equivalent level,2019,249.204
219,AUT,Austria,Female,Information and Communication Technologies (ICTs),Homecoming nationals,Doctoral or equivalent level,2019,4.5
220,AUT,Austria,Male,Information and Communication Technologies (ICTs),Homecoming nationals,Doctoral or equivalent level,2019,18.893
221,AUT,Austria,Female,"Engineering, manufacturing and construction",Total,Short-cycle tertiary education,2019,3823.317
222,AUT,Austria,Male,"Engineering, manufacturing and construction",Mobile including homecoming nationals,Short-cycle tertiary education,2019,60.333
223,AUT,Austria,Female,"Engineering, manufacturing and construction",Homecoming nationals,Short-cycle tertiary education,2019,0.0
224,AUT,Austria,Male,"Engineering, manufacturing and construction",Total,Bachelor’s or equivalent level,2019,22431.482
225,AUT,Austria,Male,"Engineering, manufacturing and construction",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,4283.618
226,AUT,Austria,Female,"Engineering, manufacturing and construction",Homecoming nationals,Bachelor’s or equivalent level,2019,164.167
227,AUT,Austria,Female,"Engineering, manufacturing and construction",Total,Master’s or equivalent level,2019,4487.683
228,AUT,Austria,Male,"Engineering, manufacturing and construction",Total,Master’s or equivalent level,2019,9817.454
229,AUT,Austria,Male,"Engineering, manufacturing and construction",Mobile including homecoming nationals,Master’s or equivalent level,2019,2550.729
230,AUT,Austria,Female,"Engineering, manufacturing and construction",Homecoming nationals,Master’s or equivalent level,2019,87.333
231,AUT,Austria,Male,"Engineering, manufacturing and construction",Homecoming nationals,Master’s or equivalent level,2019,108.379
232,AUT,Austria,Male,"Engineering, manufacturing and construction",Total,Doctoral or equivalent level,2019,2575.41
233,AUT,Austria,Female,"Engineering, manufacturing and construction",Mobile including homecoming nationals,Doctoral or equivalent level,2019,423.167
234,AUT,Austria,Male,"Engineering, manufacturing and construction",Mobile including homecoming nationals,Doctoral or equivalent level,2019,763.495
235,AUT,Austria,Female,"Engineering, manufacturing and construction",Homecoming nationals,Doctoral or equivalent level,2019,34.0
236,AUT,Austria,Male,"Agriculture, forestry, fisheries and veterinary",Total,Short-cycle tertiary education,2019,972.0
237,AUT,Austria,Female,"Agriculture, forestry, fisheries and veterinary",Mobile including homecoming nationals,Short-cycle tertiary education,2019,12.5
238,AUT,Austria,Male,"Agriculture, forestry, fisheries and veterinary",Mobile including homecoming nationals,Short-cycle tertiary education,2019,11.0
239,AUT,Austria,Female,"Agriculture, forestry, fisheries and veterinary",Total,Bachelor’s or equivalent level,2019,717.192
240,AUT,Austria,Female,"Agriculture, forestry, fisheries and veterinary",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,139.667
241,AUT,Austria,Female,"Agriculture, forestry, fisheries and veterinary",Homecoming nationals,Bachelor’s or equivalent level,2019,9.0
242,AUT,Austria,Female,"Agriculture, forestry, fisheries and veterinary",Total,Master’s or equivalent level,2019,1413.694
243,AUT,Austria,Female,"Agriculture, forestry, fisheries and veterinary",Homecoming nationals,Master’s or equivalent level,2019,10.5
244,AUT,Austria,Female,"Agriculture, forestry, fisheries and veterinary",Total,Doctoral or equivalent level,2019,295.583
245,AUT,Austria,Male,"Agriculture, forestry, fisheries and veterinary",Total,Doctoral or equivalent level,2019,200.033
246,AUT,Austria,Female,"Agriculture, forestry, fisheries and veterinary",Homecoming nationals,Doctoral or equivalent level,2019,7.0
247,AUT,Austria,Male,"Agriculture, forestry, fisheries and veterinary",Homecoming nationals,Doctoral or equivalent level,2019,5.5
248,AUT,Austria,Female,Health and welfare,Total,Short-cycle tertiary education,2019,2499.083
249,AUT,Austria,Male,Health and welfare,Total,Short-cycle tertiary education,2019,981.5
250,AUT,Austria,Male,Health and welfare,Homecoming nationals,Short-cycle tertiary education,2019,11.0
251,AUT,Austria,Female,Health and welfare,Total,Bachelor’s or equivalent level,2019,10515.034
252,AUT,Austria,Male,Health and welfare,Total,Bachelor’s or equivalent level,2019,3239.924
253,AUT,Austria,Female,Health and welfare,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,885.083
254,AUT,Austria,Female,Health and welfare,Homecoming nationals,Bachelor’s or equivalent level,2019,72.667
255,AUT,Austria,Male,Health and welfare,Homecoming nationals,Bachelor’s or equivalent level,2019,31.045
256,AUT,Austria,Female,Health and welfare,Homecoming nationals,Master’s or equivalent level,2019,153.75
257,AUT,Austria,Male,Health and welfare,Homecoming nationals,Master’s or equivalent level,2019,81.667
258,AUT,Austria,Female,Health and welfare,Total,Doctoral or equivalent level,2019,1249.825
259,AUT,Austria,Male,Health and welfare,Total,Doctoral or equivalent level,2019,1084.942
260,AUT,Austria,Female,Health and welfare,Mobile including homecoming nationals,Doctoral or equivalent level,2019,467.033
261,AUT,Austria,Male,Health and welfare,Mobile including homecoming nationals,Doctoral or equivalent level,2019,335.855
262,AUT,Austria,Female,Health and welfare,Homecoming nationals,Doctoral or equivalent level,2019,42.5
263,AUT,Austria,Female,Services,Total,Short-cycle tertiary education,2019,10825.333
264,AUT,Austria,Male,Services,Total,Short-cycle tertiary education,2019,2220.5
265,AUT,Austria,Male,Services,Mobile including homecoming nationals,Short-cycle tertiary education,2019,24.0
266,AUT,Austria,Female,Services,Homecoming nationals,Short-cycle tertiary education,2019,2.0
267,AUT,Austria,Female,Services,Total,Bachelor’s or equivalent level,2019,1182.617
268,AUT,Austria,Female,Services,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,259.75
269,AUT,Austria,Female,Services,Homecoming nationals,Bachelor’s or equivalent level,2019,7.5
270,AUT,Austria,Male,Services,Homecoming nationals,Bachelor’s or equivalent level,2019,10.2
271,AUT,Austria,Female,Services,Total,Master’s or equivalent level,2019,412.083
272,AUT,Austria,Female,Services,Mobile including homecoming nationals,Master’s or equivalent level,2019,117.333
273,AUT,Austria,Female,Services,Homecoming nationals,Master’s or equivalent level,2019,6.0
274,AUT,Austria,Female,Services,Total,Doctoral or equivalent level,2019,25.0
275,AUT,Austria,Female,Services,Mobile including homecoming nationals,Doctoral or equivalent level,2019,6.5
276,AUT,Austria,Female,Services,Homecoming nationals,Doctoral or equivalent level,2019,0.0
277,AUT,Austria,Male,Services,Homecoming nationals,Doctoral or equivalent level,2019,1.5
278,BEL,Belgium,Female,Education,Total,Short-cycle tertiary education,2019,0.0
279,BEL,Belgium,Male,Education,Total,Short-cycle tertiary education,2019,0.0
280,BEL,Belgium,Female,Education,Mobile including homecoming nationals,Short-cycle tertiary education,2019,0.0
281,BEL,Belgium,Male,Education,Homecoming nationals,Short-cycle tertiary education,2019,0.0
282,BEL,Belgium,Female,Education,Total,Bachelor’s or equivalent level,2019,30655.0
283,BEL,Belgium,Female,Education,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,948.0
284,BEL,Belgium,Female,Education,Homecoming nationals,Bachelor’s or equivalent level,2019,37.0
285,BEL,Belgium,Female,Education,Total,Master’s or equivalent level,2019,2842.0
286,BEL,Belgium,Male,Education,Total,Master’s or equivalent level,2019,1009.0
287,BEL,Belgium,Female,Education,Mobile including homecoming nationals,Master’s or equivalent level,2019,382.0
288,BEL,Belgium,Male,Education,Mobile including homecoming nationals,Master’s or equivalent level,2019,246.0
289,BEL,Belgium,Female,Education,Homecoming nationals,Master’s or equivalent level,2019,1.0
290,BEL,Belgium,Female,Education,Total,Doctoral or equivalent level,2019,153.0
291,BEL,Belgium,Male,Education,Mobile including homecoming nationals,Doctoral or equivalent level,2019,3.0
292,BEL,Belgium,Female,Education,Homecoming nationals,Doctoral or equivalent level,2019,0.0
293,BEL,Belgium,Male,Education,Homecoming nationals,Doctoral or equivalent level,2019,0.0
294,BEL,Belgium,Female,Arts and humanities,Total,Short-cycle tertiary education,2019,0.0
295,BEL,Belgium,Male,Arts and humanities,Total,Short-cycle tertiary education,2019,0.0
296,BEL,Belgium,Male,Arts and humanities,Mobile including homecoming nationals,Short-cycle tertiary education,2019,0.0
297,BEL,Belgium,Female,Arts and humanities,Homecoming nationals,Short-cycle tertiary education,2019,0.0
298,BEL,Belgium,Female,Arts and humanities,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,2651.0
299,BEL,Belgium,Male,Arts and humanities,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,1726.0
300,BEL,Belgium,Male,Arts and humanities,Homecoming nationals,Bachelor’s or equivalent level,2019,39.0
301,BEL,Belgium,Female,Arts and humanities,Total,Master’s or equivalent level,2019,6393.0
302,BEL,Belgium,Male,Arts and humanities,Total,Master’s or equivalent level,2019,4143.0
303,BEL,Belgium,Female,Arts and humanities,Mobile including homecoming nationals,Master’s or equivalent level,2019,1309.0
304,BEL,Belgium,Female,Arts and humanities,Homecoming nationals,Master’s or equivalent level,2019,30.0
305,BEL,Belgium,Female,Arts and humanities,Total,Doctoral or equivalent level,2019,854.0
306,BEL,Belgium,Female,Arts and humanities,Mobile including homecoming nationals,Doctoral or equivalent level,2019,45.0
307,BEL,Belgium,Female,Arts and humanities,Homecoming nationals,Doctoral or equivalent level,2019,0.0
308,BEL,Belgium,Female,"Social sciences, journalism and information",Total,Short-cycle tertiary education,2019,1288.0
309,BEL,Belgium,Male,"Social sciences, journalism and information",Total,Short-cycle tertiary education,2019,348.0
310,BEL,Belgium,Male,"Social sciences, journalism and information",Mobile including homecoming nationals,Short-cycle tertiary education,2019,24.0
311,BEL,Belgium,Female,"Social sciences, journalism and information",Homecoming nationals,Short-cycle tertiary education,2019,0.0
312,BEL,Belgium,Male,"Social sciences, journalism and information",Homecoming nationals,Short-cycle tertiary education,2019,0.0
313,BEL,Belgium,Male,"Social sciences, journalism and information",Total,Bachelor’s or equivalent level,2019,8935.0
314,BEL,Belgium,Female,"Social sciences, journalism and information",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,1213.0
315,BEL,Belgium,Male,"Social sciences, journalism and information",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,706.0
316,BEL,Belgium,Female,"Social sciences, journalism and information",Homecoming nationals,Bachelor’s or equivalent level,2019,45.0
317,BEL,Belgium,Female,"Social sciences, journalism and information",Total,Master’s or equivalent level,2019,9583.0
318,BEL,Belgium,Male,"Social sciences, journalism and information",Total,Master’s or equivalent level,2019,4613.0
319,BEL,Belgium,Female,"Social sciences, journalism and information",Mobile including homecoming nationals,Master’s or equivalent level,2019,1679.0
320,BEL,Belgium,Male,"Social sciences, journalism and information",Mobile including homecoming nationals,Master’s or equivalent level,2019,1002.0
